entry_id,raw_text,surname,first_name,first_name_expanded,suffix,occupation,relationship_type,related_to_name,age,origin,descriptor,additional_persons,additional_persons_count,entry_type,confidence,flags
495,"Bush, Elizabeth",Bush,Elizabeth,Elizabeth,,,,,,,,,,named,high,
496,"Bushell, Clarissa",Bushell,Clarissa,Clarissa,,,,,,,,,,named,high,
497,"Bushell, Elizabeth",Bushell,Elizabeth,Elizabeth,,,,,,,,,,named,high,
498,"Busier, Sarah",Busier,Sarah,Sarah,,,,,,,,,,named,high,
499,"Busyman, John",Busyman,John,John,,,,,,,,,,named,high,
500,"Butler, John",Butler,John,John,,,,,,,,,,named,high,
501,"Butler, William – chairmaker",Butler,William,William,,chairmaker,,,,,chairmaker,,,named,high,
502,"Buttonfile,Andres' wife",Buttonfile,,,,,wife,Andres,,,,,,named,high,
503,"Butts, William - shoemaker",Butts,William,William,,shoemaker,,,,,shoemaker,,,named,high,
504,"Byerly, Francis – a lad",Byerly,Francis,Francis,,a lad,,,,,a lad,,,named,high,
505,"Cable, Sarah – a servant",Cable,Sarah,Sarah,,a servant,servant,,,,a servant,,,named,high,
506,"Cabler, Catharine",Cabler,Catharine,Catharine,,,,,,,,,,named,high,
507,"Cadwallader, Hannah",Cadwallader,Hannah,Hannah,,,,,,,,,,named,high,
508,Caffin – see Cassin,Caffin,,,,see Cassin,,,,,see Cassin,,,named,high,
509,Cake Paul's wife,Cake Paul's wife,,,,,,,,,,,,named,high,
510,"Cake, Susannah",Cake,Susannah,Susannah,,,,,,,,,,named,high,
511,"Calbraith Jun., James",Calbraith Jun.,James,James,,,,,,,,,,named,high,
512,"Calbraith, James' young man",Calbraith,,,,,young man,James,,,,,,named,high,
513,"Calder, Jn. – shopkeeper and wife",Calder,Jn.,Jn.,,shopkeeper,wife,,,,shopkeeper,wife,,named,high,
514,"Caldwell, John – a child",Caldwell,John,John,,a child,child,,,,a child,,,named,high,
515,"Cale, Mary",Cale,Mary,Mary,,,,,,,,,,named,high,
516,"Callaghan, Martin",Callaghan,Martin,Martin,,,,,,,,,,named,high,
517,"Callagher, James – Seaman",Callagher,James,James,,Seaman,,,,,Seaman,,,named,high,
518,"Calley, Daniel",Calley,Daniel,Daniel,,,,,,,,,,named,high,
519,"Calup,Michael's child & servant",Calup,,,,,child,Michael,,,,servant,,named,high,
520,"Cambay, Gilmet",Cambay,Gilmet,Gilmet,,,,,,,,,,named,high,
521,"Cambell, Alexander",Cambell,Alexander,Alexander,,,,,,,,,,named,high,
522,"Camble, Patrick – labourer",Camble,Patrick,Patrick,,labourer,,,,,labourer,,,named,high,
523,"Cambler, Alexander",Cambler,Alexander,Alexander,,,,,,,,,,named,high,
524,"Camby, Abraham – carpenter",Camby,Abraham,Abraham,,carpenter,,,,,carpenter,,,named,high,
525,"Cameron, William – innkeeper",Cameron,William,William,,innkeeper,,,,,innkeeper,,,named,high,
526,"Camp, Charlotte",Camp,Charlotte,Charlotte,,,,,,,,,,named,high,
527,"Camp, Matthias",Camp,Matthias,Matthias,,,,,,,,,,named,high,
528,"Campbell, _____ wife of tailor",Campbell,_____ wife of tailor,_____ wife of tailor,,,,,,,,,,unnamed,medium,
529,"Campbell, Ann'",Campbell,Ann',Ann',,,,,,,,,,named,high,
530,"Campbell, Christiana",Campbell,Christiana,Christiana,,,,,,,,,,named,high,
531,"Campbell, George",Campbell,George,George,,,,,,,,,,named,high,
532,"Campbell, James – shoemaker",Campbell,James,James,,shoemaker,,,,,shoemaker,,,named,high,
533,"Campbell, John – servant",Campbell,John,John,,servant,servant,,,,servant,,,named,high,
534,"Campbell, Mary, dau. of George",Campbell,Mary,Mary,,dau. of George,,,,,dau. of George,,,named,high,
535,"Campbell, Sarah, wife of George",Campbell,Sarah,Sarah,,wife of George,wife,,,,wife of George,,,named,high,
536,"Campbell, William and wife",Campbell,William and wife,William and wife,,,,,,,,,,named,high,
537,"Camus, James",Camus,James,James,,,,,,,,,,named,high,
538,"Canaaen, Dan – smith – and child It.",Canaaen,Dan,Dan,,smith –,child,,,,smith –,child It.,,named,high,
539,"Candie, John",Candie,John,John,,,,,,,,,,named,high,
540,"Cane, Mary – widow",Cane,Mary,Mary,,,widow,,,,,,,named,high,
541,"Cane, Phebe",Cane,Phebe,Phebe,,,,,,,,,,named,high,
542,"Canner, John – baker",Canner,John,John,,baker,,,,,baker,,,named,high,
543,"Cannon, Fanny",Cannon,Fanny,Fanny,,,,,,,,,,named,high,
544,"Cannon, James",Cannon,James,James,,,,,,,,,,named,high,
545,"Capehard, George and child",Capehard,George and child,George and child,,,,,,,,,,named,high,
546,"Capehart, Frederic – apprentice",Capehart,Frederic,Frederic,,apprentice,apprentice,,,,apprentice,,,named,high,
547,"Capehart, George – tobacconist",Capehart,George,George,,tobacconist,,,,,tobacconist,,,named,high,
548,"Cappey, Caleb",Cappey,Caleb,Caleb,,,,,,,,,,named,high,
549,"Cardell, Francis",Cardell,Francis,Francis,,,,,,,,,,named,high,
550,"Care, Andrew – tailor",Care,Andrew,Andrew,,tailor,,,,,tailor,,,named,high,
551,"Care, Catharine",Care,Catharine,Catharine,,,,,,,,,,named,high,
552,"Care, Philip's wife and child",Care,,,,,wife,Philip,,,,child,,named,high,
553,"Carefoot, Christopher",Carefoot,Christopher,Christopher,,,,,,,,,,named,high,
554,"Carey , ____ wife",Carey,____ wife,____ wife,,,,,,,,,,unnamed,medium,
